,Survived,Sex,Age,SibSp,Parch,Fare,class2,class3,cabinA,cabinB,cabinC,cabinD,cabinE,cabinF,cabinG,cabinT,cherbourg,queenstown,southampton
643,1,1,29.69911764705882,0,0,56.4958,0,1,0,0,0,0,0,0,0,0,0,0,1
814,0,1,30.5,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
52,1,0,49.0,1,0,76.7292,0,0,0,0,0,1,0,0,0,0,1,0,0
812,0,1,35.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
691,1,0,4.0,0,1,13.4167,0,1,0,0,0,0,0,0,0,0,1,0,0
251,0,0,29.0,1,1,10.4625,0,1,0,0,0,0,0,0,1,0,0,0,1
398,0,1,23.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
477,0,1,29.0,1,0,7.0458,0,1,0,0,0,0,0,0,0,0,0,0,1
536,0,1,45.0,0,0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,1
673,1,1,31.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
818,0,1,43.0,0,0,6.45,0,1,0,0,0,0,0,0,0,0,0,0,1
708,1,0,22.0,0,0,151.55,0,0,0,0,0,0,0,0,0,0,0,0,1
321,0,1,27.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
304,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
21,1,1,34.0,0,0,13.0,1,0,0,0,0,1,0,0,0,0,0,0,1
303,1,0,29.69911764705882,0,0,12.35,1,0,0,0,0,0,1,0,0,0,0,1,0
456,0,1,65.0,0,0,26.55,0,0,0,0,0,0,1,0,0,0,0,0,1
23,1,1,28.0,0,0,35.5,0,0,1,0,0,0,0,0,0,0,0,0,1
603,0,1,44.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
359,1,0,29.69911764705882,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,1,0
298,1,1,29.69911764705882,0,0,30.5,0,0,0,0,1,0,0,0,0,0,0,0,1
54,0,1,65.0,0,1,61.9792,0,0,0,1,0,0,0,0,0,0,1,0,0
447,1,1,34.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1
682,0,1,20.0,0,0,9.225,0,1,0,0,0,0,0,0,0,0,0,0,1
281,0,1,28.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
31,1,0,29.69911764705882,1,0,146.5208,0,0,0,1,0,0,0,0,0,0,1,0,0
403,0,1,28.0,1,0,15.85,0,1,0,0,0,0,0,0,0,0,0,0,1
503,0,0,37.0,0,0,9.5875,0,1,0,0,0,0,0,0,0,0,0,0,1
659,0,1,58.0,0,2,113.275,0,0,0,0,0,1,0,0,0,0,1,0,0
470,0,1,29.69911764705882,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
302,0,1,19.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1
618,1,0,4.0,2,1,39.0,1,0,0,0,0,0,0,1,0,0,0,0,1
293,0,0,24.0,0,0,8.85,0,1,0,0,0,0,0,0,0,0,0,0,1
276,0,0,45.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,1
627,1,0,21.0,0,0,77.9583,0,0,0,0,0,1,0,0,0,0,0,0,1
385,0,1,18.0,0,0,73.5,1,0,0,0,0,0,0,0,0,0,0,0,1
343,0,1,25.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
609,1,0,40.0,0,0,153.4625,0,0,0,0,1,0,0,0,0,0,0,0,1
788,1,1,1.0,1,2,20.575,0,1,0,0,0,0,0,0,0,0,0,0,1
115,0,1,21.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
473,1,0,23.0,0,0,13.7917,1,0,0,0,0,1,0,0,0,0,1,0,0
450,0,1,36.0,1,2,27.75,1,0,0,0,0,0,0,0,0,0,0,0,1
666,0,1,25.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
451,0,1,29.69911764705882,1,0,19.9667,0,1,0,0,0,0,0,0,0,0,0,0,1
770,0,1,24.0,0,0,9.5,0,1,0,0,0,0,0,0,0,0,0,0,1
689,1,0,15.0,0,1,211.3375,0,0,0,1,0,0,0,0,0,0,0,0,1
95,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
290,1,0,26.0,0,0,78.85,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,1,42.0,1,0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,1
309,1,0,30.0,0,0,56.9292,0,0,0,0,0,0,1,0,0,0,1,0,0
642,0,0,2.0,3,2,27.9,0,1,0,0,0,0,0,0,0,0,0,0,1
524,0,1,29.69911764705882,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
709,1,1,29.69911764705882,1,1,15.2458,0,1,0,0,0,0,0,0,0,0,1,0,0
507,1,1,29.69911764705882,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1
558,1,0,39.0,1,1,79.65,0,0,0,0,0,0,1,0,0,0,0,0,1
148,0,1,36.5,0,2,26.0,1,0,0,0,0,0,0,1,0,0,0,0,1
752,0,1,33.0,0,0,9.5,0,1,0,0,0,0,0,0,0,0,0,0,1
146,1,1,27.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,0,0,0,1
444,1,1,29.69911764705882,0,0,8.1125,0,1,0,0,0,0,0,0,0,0,0,0,1
238,0,1,19.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
443,1,0,28.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
17,1,1,29.69911764705882,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
98,1,0,34.0,0,1,23.0,1,0,0,0,0,0,0,0,0,0,0,0,1
656,0,1,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
588,0,1,22.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
76,0,1,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
414,1,1,44.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
697,1,0,29.69911764705882,0,0,7.7333,0,1,0,0,0,0,0,0,0,0,0,1,0
323,1,0,22.0,1,1,29.0,1,0,0,0,0,0,0,0,0,0,0,0,1
376,1,0,22.0,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
209,1,1,40.0,0,0,31.0,0,0,1,0,0,0,0,0,0,0,1,0,0
523,1,0,44.0,0,1,57.9792,0,0,0,1,0,0,0,0,0,0,1,0,0
379,0,1,19.0,0,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1
866,1,0,27.0,1,0,13.8583,1,0,0,0,0,0,0,0,0,0,1,0,0
565,0,1,24.0,2,0,24.15,0,1,0,0,0,0,0,0,0,0,0,0,1
93,0,1,26.0,1,2,20.575,0,1,0,0,0,0,0,0,0,0,0,0,1
713,0,1,29.0,0,0,9.4833,0,1,0,0,0,0,0,0,0,0,0,0,1
33,0,1,66.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
594,0,1,37.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
353,0,1,25.0,1,0,17.8,0,1,0,0,0,0,0,0,0,0,0,0,1
519,0,1,32.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
704,0,1,26.0,1,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
717,1,0,27.0,0,0,10.5,1,0,0,0,0,0,1,0,0,0,0,0,1
668,0,1,43.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
491,0,1,21.0,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
83,0,1,28.0,0,0,47.1,0,0,0,0,0,0,0,0,0,0,0,0,1
842,1,0,30.0,0,0,31.0,0,0,0,0,0,0,0,0,0,0,1,0,0
608,1,0,22.0,1,2,41.5792,1,0,0,0,0,0,0,0,0,0,1,0,0
803,1,1,0.42,0,1,8.5167,0,1,0,0,0,0,0,0,0,0,1,0,0
181,0,1,29.69911764705882,0,0,15.05,1,0,0,0,0,0,0,0,0,0,1,0,0
740,1,1,29.69911764705882,0,0,30.0,0,0,0,0,0,1,0,0,0,0,0,0,1
221,0,1,27.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
207,1,1,26.0,0,0,18.7875,0,1,0,0,0,0,0,0,0,0,1,0,0
546,1,0,19.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
100,0,0,28.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
145,0,1,19.0,1,1,36.75,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,22.0,1,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
467,0,1,56.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1
585,1,0,18.0,0,2,79.65,0,0,0,0,0,0,1,0,0,0,0,0,1
110,0,1,47.0,0,0,52.0,0,0,0,0,1,0,0,0,0,0,0,0,1
815,0,1,29.69911764705882,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1
830,1,0,15.0,1,0,14.4542,0,1,0,0,0,0,0,0,0,0,1,0,0
633,0,1,29.69911764705882,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,1,0,24.0,0,2,14.5,1,0,0,0,0,0,0,0,0,0,0,0,1
397,0,1,46.0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
723,0,1,50.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
728,0,1,25.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,26.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
165,1,1,9.0,0,2,20.525,0,1,0,0,0,0,0,0,0,0,0,0,1
461,0,1,34.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
108,0,1,38.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
706,1,0,45.0,0,0,13.5,1,0,0,0,0,0,0,0,0,0,0,0,1
104,0,1,37.0,2,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
81,1,1,29.0,0,0,9.5,0,1,0,0,0,0,0,0,0,0,0,0,1
809,1,0,33.0,1,0,53.1,0,0,0,0,0,0,1,0,0,0,0,0,1
38,0,0,18.0,2,0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,1
744,1,1,31.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
749,0,1,31.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
822,0,1,38.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
530,1,0,2.0,1,1,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
759,1,0,33.0,0,0,86.5,0,0,0,1,0,0,0,0,0,0,0,0,1
741,0,1,36.0,1,0,78.85,0,0,0,0,1,0,0,0,0,0,0,0,1
861,0,1,21.0,1,0,11.5,1,0,0,0,0,0,0,0,0,0,0,0,1
535,1,0,7.0,0,2,26.25,1,0,0,0,0,0,0,0,0,0,0,0,1
360,0,1,40.0,1,4,27.9,0,1,0,0,0,0,0,0,0,0,0,0,1
873,0,1,47.0,0,0,9.0,0,1,0,0,0,0,0,0,0,0,0,0,1
796,1,0,49.0,0,0,25.9292,0,0,0,0,0,1,0,0,0,0,0,0,1
299,1,0,50.0,0,1,247.5208,0,0,0,1,0,0,0,0,0,0,1,0,0
435,1,0,14.0,1,2,120.0,0,0,0,1,0,0,0,0,0,0,0,0,1
263,0,1,40.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1
65,1,1,29.69911764705882,1,1,15.2458,0,1,0,0,0,0,0,0,0,0,1,0,0
426,1,0,28.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
84,1,0,17.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
436,0,0,21.0,2,2,34.375,0,1,0,0,0,0,0,0,0,0,0,0,1
743,0,1,24.0,1,0,16.1,0,1,0,0,0,0,0,0,0,0,0,0,1
369,1,0,24.0,0,0,69.3,0,0,0,1,0,0,0,0,0,0,1,0,0
114,0,0,17.0,0,0,14.4583,0,1,0,0,0,0,0,0,0,0,1,0,0
857,1,1,51.0,0,0,26.55,0,0,0,0,0,0,1,0,0,0,0,0,1
258,1,0,35.0,0,0,512.3292,0,0,0,0,0,0,0,0,0,0,1,0,0
573,1,0,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
402,0,0,21.0,1,0,9.825,0,1,0,0,0,0,0,0,0,0,0,0,1
827,1,1,1.0,0,2,37.0042,1,0,0,0,0,0,0,0,0,0,1,0,0
284,0,1,29.69911764705882,0,0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,1
646,0,1,19.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
345,1,0,24.0,0,0,13.0,1,0,0,0,0,0,0,1,0,0,0,0,1
631,0,1,51.0,0,0,7.0542,0,1,0,0,0,0,0,0,0,0,0,0,1
596,1,0,29.69911764705882,0,0,33.0,1,0,0,0,0,0,0,0,0,0,0,0,1
863,0,0,29.69911764705882,8,2,69.55,0,1,0,0,0,0,0,0,0,0,0,0,1
316,1,0,24.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
732,0,1,29.69911764705882,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1
332,0,1,38.0,0,1,153.4625,0,0,0,0,1,0,0,0,0,0,0,0,1
390,1,1,36.0,1,2,120.0,0,0,0,1,0,0,0,0,0,0,0,0,1
676,0,1,24.5,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
257,1,0,30.0,0,0,86.5,0,0,0,1,0,0,0,0,0,0,0,0,1
551,0,1,27.0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
520,1,0,30.0,0,0,93.5,0,0,0,1,0,0,0,0,0,0,0,0,1
820,1,0,52.0,1,1,93.5,0,0,0,1,0,0,0,0,0,0,0,0,1
876,0,1,20.0,0,0,9.8458,0,1,0,0,0,0,0,0,0,0,0,0,1
797,1,0,31.0,0,0,8.6833,0,1,0,0,0,0,0,0,0,0,0,0,1
707,1,1,42.0,0,0,26.2875,0,0,0,0,0,0,1,0,0,0,0,0,1
529,0,1,23.0,2,1,11.5,1,0,0,0,0,0,0,0,0,0,0,0,1
593,0,0,29.69911764705882,0,2,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
305,1,1,0.92,1,2,151.55,0,0,0,0,1,0,0,0,0,0,0,0,1
47,1,0,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
591,1,0,52.0,1,0,78.2667,0,0,0,0,0,1,0,0,0,0,1,0,0
26,0,1,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
169,0,1,28.0,0,0,56.4958,0,1,0,0,0,0,0,0,0,0,0,0,1
382,0,1,32.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
629,0,1,29.69911764705882,0,0,7.7333,0,1,0,0,0,0,0,0,0,0,0,1,0
72,0,1,21.0,0,0,73.5,1,0,0,0,0,0,0,0,0,0,0,0,1
672,0,1,70.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
268,1,0,58.0,0,1,153.4625,0,0,0,0,1,0,0,0,0,0,0,0,1
324,0,1,29.69911764705882,8,2,69.55,0,1,0,0,0,0,0,0,0,0,0,0,1
217,0,1,42.0,1,0,27.0,1,0,0,0,0,0,0,0,0,0,0,0,1
434,0,1,50.0,1,0,55.9,0,0,0,0,0,0,1,0,0,0,0,0,1
727,1,0,29.69911764705882,0,0,7.7375,0,1,0,0,0,0,0,0,0,0,0,1,0
351,0,1,29.69911764705882,0,0,35.0,0,0,0,0,1,0,0,0,0,0,0,0,1
771,0,1,48.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
306,1,0,29.69911764705882,0,0,110.8833,0,0,0,0,0,0,0,0,0,0,1,0,0
242,0,1,29.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
380,1,0,42.0,0,0,227.525,0,0,0,0,0,0,0,0,0,0,1,0,0
132,0,0,47.0,1,0,14.5,0,1,0,0,0,0,0,0,0,0,0,0,1
22,1,0,15.0,0,0,8.0292,0,1,0,0,0,0,0,0,0,0,0,1,0
109,1,0,29.69911764705882,1,0,24.15,0,1,0,0,0,0,0,0,0,0,0,1,0
621,1,1,42.0,1,0,52.5542,0,0,0,0,0,1,0,0,0,0,0,0,1
55,1,1,29.69911764705882,0,0,35.5,0,0,0,0,1,0,0,0,0,0,0,0,1
117,0,1,29.0,1,0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,1
782,0,1,29.0,0,0,30.0,0,0,0,0,0,1,0,0,0,0,0,0,1
102,0,1,21.0,0,1,77.2875,0,0,0,0,0,1,0,0,0,0,0,0,1
686,0,1,14.0,4,1,39.6875,0,1,0,0,0,0,0,0,0,0,0,0,1
688,0,1,18.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,0,0,0,1
512,1,1,36.0,0,0,26.2875,0,0,0,0,0,0,1,0,0,0,0,0,1
880,1,0,25.0,0,1,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
601,0,1,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
464,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
388,0,1,29.69911764705882,0,0,7.7292,0,1,0,0,0,0,0,0,0,0,0,1,0
432,1,0,42.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
501,0,0,21.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
645,1,1,48.0,1,0,76.7292,0,0,0,0,0,1,0,0,0,0,1,0,0
334,1,0,29.69911764705882,1,0,133.65,0,0,0,0,0,0,0,0,0,0,0,0,1
200,0,1,28.0,0,0,9.5,0,1,0,0,0,0,0,0,0,0,0,0,1
439,0,1,31.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
882,0,0,22.0,0,0,10.5167,0,1,0,0,0,0,0,0,0,0,0,0,1
554,1,0,22.0,0,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1
568,0,1,29.69911764705882,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
19,1,0,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
179,0,1,36.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1
622,1,1,20.0,1,1,15.7417,0,1,0,0,0,0,0,0,0,0,1,0,0
465,0,1,38.0,0,0,7.05,0,1,0,0,0,0,0,0,0,0,0,0,1
772,0,0,57.0,0,0,10.5,1,0,0,0,0,0,1,0,0,0,0,0,1
684,0,1,60.0,1,1,39.0,1,0,0,0,0,0,0,0,0,0,0,0,1
624,0,1,21.0,0,0,16.1,0,1,0,0,0,0,0,0,0,0,0,0,1
463,0,1,48.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
363,0,1,35.0,0,0,7.05,0,1,0,0,0,0,0,0,0,0,0,0,1
888,0,0,29.69911764705882,1,2,23.45,0,1,0,0,0,0,0,0,0,0,0,0,1
722,0,1,34.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
847,0,1,35.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,1,0,0
149,0,1,42.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
858,1,0,24.0,0,3,19.2583,0,1,0,0,0,0,0,0,0,0,1,0,0
545,0,1,64.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,1,19.0,3,2,263.0,0,0,0,0,1,0,0,0,0,0,0,0,1
430,1,1,28.0,0,0,26.55,0,0,0,0,1,0,0,0,0,0,0,0,1
131,0,1,20.0,0,0,7.05,0,1,0,0,0,0,0,0,0,0,0,0,1
50,0,1,7.0,4,1,39.6875,0,1,0,0,0,0,0,0,0,0,0,0,1
322,1,0,30.0,0,0,12.35,1,0,0,0,0,0,0,0,0,0,0,1,0
579,1,1,32.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
662,0,1,47.0,0,0,25.5875,0,0,0,0,0,0,1,0,0,0,0,0,1
806,0,1,39.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1
838,1,1,32.0,0,0,56.4958,0,1,0,0,0,0,0,0,0,0,0,0,1
185,0,1,29.69911764705882,0,0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1
107,1,1,29.69911764705882,0,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1
693,0,1,25.0,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
761,0,1,41.0,0,0,7.125,0,1,0,0,0,0,0,0,0,0,0,0,1
511,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
681,1,1,27.0,0,0,76.7292,0,0,0,0,0,1,0,0,0,0,1,0,0
571,1,0,53.0,2,0,51.4792,0,0,0,0,1,0,0,0,0,0,0,0,1
831,1,1,0.83,1,1,18.75,1,0,0,0,0,0,0,0,0,0,0,0,1
508,0,1,28.0,0,0,22.525,0,1,0,0,0,0,0,0,0,0,0,0,1
87,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
750,1,0,4.0,1,1,23.0,1,0,0,0,0,0,0,0,0,0,0,0,1
480,0,1,9.0,5,2,46.9,0,1,0,0,0,0,0,0,0,0,0,0,1
230,1,0,35.0,1,0,83.475,0,0,0,0,1,0,0,0,0,0,0,0,1
877,0,1,19.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
249,0,1,54.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
61,1,0,38.0,0,0,80.0,0,0,0,1,0,0,0,0,0,0,0,0,0
550,1,1,17.0,0,2,110.8833,0,0,0,0,1,0,0,0,0,0,1,0,0
578,0,0,29.69911764705882,1,0,14.4583,0,1,0,0,0,0,0,0,0,0,1,0,0
718,0,1,29.69911764705882,0,0,15.5,0,1,0,0,0,0,0,0,0,0,0,1,0
295,0,1,29.69911764705882,0,0,27.7208,0,0,0,0,0,0,0,0,0,0,1,0,0
610,0,0,39.0,1,5,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1
844,0,1,17.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,0,0,0,1
103,0,1,33.0,0,0,8.6542,0,1,0,0,0,0,0,0,0,0,0,0,1
198,1,0,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
620,0,1,27.0,1,0,14.4542,0,1,0,0,0,0,0,0,0,0,1,0,0
229,0,0,29.69911764705882,3,1,25.4667,0,1,0,0,0,0,0,0,0,0,0,0,1
862,1,0,48.0,0,0,25.9292,0,0,0,0,0,1,0,0,0,0,0,0,1
301,1,1,29.69911764705882,2,0,23.25,0,1,0,0,0,0,0,0,0,0,0,1,0
839,1,1,29.69911764705882,0,0,29.7,0,0,0,0,1,0,0,0,0,0,1,0,0
28,1,0,29.69911764705882,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,1,0
256,1,0,29.69911764705882,0,0,79.2,0,0,0,0,0,0,0,0,0,0,1,0,0
630,1,1,80.0,0,0,30.0,0,0,1,0,0,0,0,0,0,0,0,0,1
849,1,0,29.69911764705882,1,0,89.1042,0,0,0,0,1,0,0,0,0,0,1,0,0
496,1,0,54.0,1,0,78.2667,0,0,0,0,0,1,0,0,0,0,1,0,0
670,1,0,40.0,1,1,39.0,1,0,0,0,0,0,0,0,0,0,0,0,1
570,1,1,62.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
427,1,0,19.0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
720,1,0,6.0,0,1,33.0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,1,0,29.0,0,0,10.5,1,0,0,0,0,0,0,1,0,0,0,0,1
329,1,0,16.0,0,1,57.9792,0,0,0,1,0,0,0,0,0,0,1,0,0
635,1,0,28.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
737,1,1,35.0,0,0,512.3292,0,0,0,1,0,0,0,0,0,0,1,0,0
869,1,1,4.0,1,1,11.1333,0,1,0,0,0,0,0,0,0,0,0,0,1
483,1,0,63.0,0,0,9.5875,0,1,0,0,0,0,0,0,0,0,0,0,1
315,1,0,26.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
400,1,1,39.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
375,1,0,29.69911764705882,1,0,82.1708,0,0,0,0,0,0,0,0,0,0,1,0,0
448,1,0,5.0,2,1,19.2583,0,1,0,0,0,0,0,0,0,0,1,0,0
615,1,0,24.0,1,2,65.0,1,0,0,0,0,0,0,0,0,0,0,0,1
241,1,0,29.69911764705882,1,0,15.5,0,1,0,0,0,0,0,0,0,0,0,1,0
368,1,0,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
455,1,1,29.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,1,0,0
632,1,1,32.0,0,0,30.5,0,0,0,1,0,0,0,0,0,0,1,0,0
85,1,0,33.0,3,0,15.85,0,1,0,0,0,0,0,0,0,0,0,0,1
183,1,1,1.0,2,1,39.0,1,0,0,0,0,0,0,1,0,0,0,0,1
15,1,0,55.0,0,0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,1,0,14.0,1,0,11.2417,0,1,0,0,0,0,0,0,0,0,1,0,0
802,1,1,11.0,1,2,120.0,0,0,0,1,0,0,0,0,0,0,0,0,1
660,1,1,50.0,2,0,133.65,0,0,0,0,0,0,0,0,0,0,0,0,1
310,1,0,24.0,0,0,83.1583,0,0,0,0,1,0,0,0,0,0,1,0,0
399,1,0,28.0,0,0,12.65,1,0,0,0,0,0,0,0,0,0,0,0,1
192,1,0,19.0,1,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
133,1,0,29.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
755,1,1,0.67,1,1,14.5,1,0,0,0,0,0,0,0,0,0,0,0,1
513,1,0,54.0,1,0,59.4,0,0,0,0,0,0,0,0,0,0,1,0,0
458,1,0,50.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
556,1,0,48.0,1,0,39.6,0,0,1,0,0,0,0,0,0,0,1,0,0
208,1,0,16.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
751,1,1,6.0,0,1,12.475,0,1,0,0,0,0,1,0,0,0,0,0,1
367,1,0,29.69911764705882,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
275,1,0,63.0,1,0,77.9583,0,0,0,0,0,1,0,0,0,0,0,0,1
576,1,0,34.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
220,1,1,16.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
161,1,0,40.0,0,0,15.75,1,0,0,0,0,0,0,0,0,0,0,0,1
823,1,0,27.0,0,1,12.475,0,1,0,0,0,0,1,0,0,0,0,0,1
125,1,1,12.0,1,0,11.2417,0,1,0,0,0,0,0,0,0,0,1,0,0
11,1,0,58.0,0,0,26.55,0,0,0,0,1,0,0,0,0,0,0,0,1
712,1,1,48.0,1,0,52.0,0,0,0,0,1,0,0,0,0,0,0,0,1
716,1,0,38.0,0,0,227.525,0,0,0,0,1,0,0,0,0,0,1,0,0
